Claim Number,Restaurant Name,Borough Code,Address1,ZIPCODE,GRADE
41301724,EVENTFULL NYC,Brooklyn,ATLANTIC AVENUE,11201,A
50099292,BUN RAMEN,Manhattan,WEST   42 STREET,10036,B
50088417,MARY'S COFFEE SHOP,Brooklyn,DEKALB AVENUE,11221,A
50099503,NOODLE VILLAGE,Manhattan,MOTT STREET,10013,A
41060816,PRIMO CAPPUCCINO II,Manhattan,PENN STATION,10121,C
50078853,CHRISTMAS IN THE CITY,Manhattan,MULBERRY STREET,10013,A
40999668,DUNKIN & BASKIN ROBBINS,Manhattan,8 AVENUE,10011,A
50010579,RAINBOW BAKERY AND CAFE,Queens,QUEENS BLVD,11373,A
50057837,BO'S BAGELS,Manhattan,WEST  116 STREET,10026,A
50078178,WONTON NOODLE GARDEN,Manhattan,MOTT STREET,10013,A
41629298,MCDONALD'S,Manhattan,CHAMBERS STREET,10007,A
50017869,CROWN FRIED CHICKEN,Brooklyn,PITKIN AVENUE,11207,A
40895911,RAMONITA'S RESTAURANT,Brooklyn,MOORE STREET,11206,B
41554812,MI PEQUENA CHOLULA DELI RESTAURANTE,Brooklyn,MYRTLE AVENUE,11237,A
41071907,LENOX FAST FOOD,Manhattan,LENOX AVENUE,10037,Z
50091429,LOS CHOCOMILES,Brooklyn,MCDONALD AVENUE,11230,A
41619116,PEDRO'S MEXICAN BAR & RESTAURANT,Brooklyn,JAY STREET,11201,A
50086434,KING BAKERY,Brooklyn,AVENUE U,11229,A
50064037,STARBUCKS COFFEE,Brooklyn,4 AVENUE,11215,A
50104842,Beds Thai,Brooklyn,BEDFORD AVENUE,11216,A
50066365,HAPPY DELI,Queens,COLLEGE POINT BLVD,11354,A
41368920,HERMES BILLIARDS & CAFE,Queens,JAMAICA AVENUE,11418,A
50061570,"MILK BAR, FUKU",Manhattan,WALL STREET,10005,A
50003077,LAURA'S PIZZA,Bronx,BAILEY AVENUE,10463,A
50058219,HAN JOO BBQ CYCJ,Queens,149TH PL,11355,A
50065324,GIOVANNI'S ITALIAN PIZZERIA,Manhattan,COLUMBUS AVENUE,10025,A
50101593,LUCKY GRAND BAKERY,Manhattan,GRAND STREET,10002,A
40669394,FEROZA'S ROTI BAR,Bronx,BURKE AVENUE,10467,A
50071406,THE SIZZLING WOK,Brooklyn,CONEY ISLAND AVENUE,11223,B
50074098,KING WOK,Brooklyn,NOSTRAND AVENUE,11229,A
50001350,NOMURA CAFE (5TH FL NOMURA CAFE),Manhattan,WEST   49 STREET,10019,A
50090242,BAGELERY,Queens,NORTHERN BLVD,11354,A
50074809,MOONSTRUCK EATERY,Manhattan,EAST   58 STREET,10022,P
50017778,JUICE FOR LIFE,Bronx,EAST TREMONT AVENUE,10465,Z
50103178,D ROTI HUT,Queens,JAMAICA AVE,11428,A
40886613,D'ANGELO'S PIZZERIA AND RESTAURANT,Queens,108 STREET,11375,B
41319774,BAR & GRILL 43,Queens,43 STREET,11104,P
50074511,WATT LI KITCHEN AND BAR,Brooklyn,NEWKIRK AVENUE,11226,A
